Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ27,OUT046,791.49695
FDN57,OUT017,2140.3972
FDA03,OUT018,2198.7502
FDZ36,OUT045,3096.8875
NCU05,OUT013,1335.5585
FDT39,OUT018,2158.2173
FDK60,OUT017,1542.6106
FDZ25,OUT017,2771.0745
FDG12,OUT046,2066.6382
DRB01,OUT019,554.99664
NCC43,OUT027,5969.428
FDX13,OUT019,924.8476
FDM22,OUT049,861.5457
FDJ03,OUT027,1336.04
FDU14,OUT018,3708.132
FDB33,OUT010,409.19348
FDP27,OUT046,3144.1924
FDO38,OUT010,283.68625
FDE28,OUT027,6437.7783
FDO27,OUT035,1551.0789
DRL23,OUT027,2635.4517
FDS28,OUT046,928.5593
FDX24,OUT013,1416.5258
FDZ02,OUT035,1550.4232
FDL46,OUT045,1900.0685
FDS60,OUT027,4607.26
NCO06,OUT017,673.649
FDO16,OUT035,1434.8988
FDC60,OUT049,1406.526
FDA48,OUT018,3101.443
FDZ36,OUT027,4945.5166
FDK27,OUT045,2101.9238
FDW23,OUT018,666.84155
FDM14,OUT018,1531.5651
FDM14,OUT013,1648.3881
FDW60,OUT018,2769.6555
FDE21,OUT013,1914.5564
NCM42,OUT035,1668.2506
FDY59,OUT010,309.6836
DRI49,OUT049,1338.3141
FDT28,OUT019,392.04944
FDQ22,OUT018,578.51044
FDR60,OUT049,1276.3956
FDC50,OUT019,300.1406
FDV24,OUT013,2418.584
DRF48,OUT010,537.878
FDQ47,OUT046,678.73285
DRN36,OUT049,1528.9924
NCY06,OUT035,2115.9238
FDE52,OUT035,1417.7684
NCB54,OUT045,2101.9238
NCF31,OUT035,2461.6824
FDJ08,OUT027,5149.3257
NCC07,OUT017,1644.7488
NCD19,OUT027,1725.6598
FDL46,OUT049,1897.2863
FDM20,OUT045,3867.077
NCI06,OUT010,539.3125
DRM11,OUT035,3873.7358
NCH07,OUT018,2355.7617
FDS23,OUT013,2160.9805
FDO49,OUT018,677.01654
FDS35,OUT049,1037.1958
DRK39,OUT045,1338.3141
DRI39,OUT049,928.5593
FDV04,OUT017,2610.541
NCN14,OUT035,3152.185
FDH08,OUT013,3840.5544
FDS20,OUT046,3290.3157
FDV40,OUT049,1169.4246
FDZ48,OUT010,363.9001
FDS24,OUT027,2227.2515
FDK44,OUT049,2891.1462
FDS48,OUT045,2447.6824
FDK26,OUT010,590.10724
FDD23,OUT045,3144.1924
NCH54,OUT017,2641.0874
NCP14,OUT010,356.84772
FDM60,OUT010,93.41135
FDV24,OUT017,2418.584
FDH08,OUT018,3383.1135
FDS12,OUT027,3156.4102
FDR39,OUT027,4639.04
FDP12,OUT027,1061.129
DRF60,OUT027,6183.2705
FDC09,OUT035,1656.2007
FDF50,OUT018,2907.7063
FDG28,OUT035,4058.57
NCE19,OUT017,945.6152
NCM53,OUT010,371.57178
NCN18,OUT049,1710.7877
FDF32,OUT035,3158.1924
FDF11,OUT013,4110.4277
DRI59,OUT049,3699.0771
NCG54,OUT035,2778.8872
FDM44,OUT046,1630.2893
FDT57,OUT018,3430.481
FDV24,OUT046,2412.3967
FDI50,OUT019,604.5501
FDS09,OUT035,805.49695
NCC31,OUT027,3681.3677
FDQ07,OUT019,597.40375
FDC22,OUT017,3176.2727
FDZ56,OUT046,2764.8872
FDZ40,OUT019,173.3127
FDS46,OUT027,2994.581
DRD24,OUT045,2137.8489
FDV45,OUT017,3158.1924
FDL26,OUT045,2445.8008
FDA56,OUT018,1858.2424
FDN27,OUT046,1825.5834
FDM20,OUT049,4055.6055
FDO16,OUT017,1355.8391
FDL03,OUT035,3161.2876
FDE58,OUT046,1904.7295
FDI02,OUT027,3024.588
NCC55,OUT019,83.86839
FDR03,OUT018,3019.7031
FDB14,OUT017,1427.7103
FDR45,OUT013,3903.6438
NCN07,OUT017,2140.3972
FDM51,OUT019,347.30472
FDT52,OUT027,6129.1523
FDL26,OUT046,2444.043
NCZ42,OUT046,4008.7927
DRI47,OUT019,392.04944
FDW40,OUT013,2144.0366
FDN34,OUT046,2764.8872
FDS01,OUT035,2903.6262
NCG55,OUT045,1908.3688
FDC11,OUT035,1378.8529
FDX35,OUT018,3398.9854
NCB06,OUT046,2604.3538
FDR09,OUT019,740.5795
FDC53,OUT017,1542.6106
FDY45,OUT013,3970.775
FDA22,OUT010,460.74512
FDE02,OUT035,1539.0289
FDW21,OUT045,1663.6624
FDV34,OUT046,1088.7147
FDS59,OUT049,1642.2004
NCW17,OUT017,2104.472
NCK54,OUT046,1908.3688
FDG17,OUT019,803.149
FDG35,OUT017,2793.9207
FDD08,OUT010,65.30531
NCO07,OUT017,3458.1118
FDJ10,OUT010,400.34384
FDW36,OUT017,1648.3881
FDW21,OUT010,356.27402
FDY19,OUT017,1908.1349
DRE03,OUT013,795.97034
NCC55,OUT049,706.8389
FDH52,OUT010,197.48561
FDO09,OUT017,3942.0718
FDU43,OUT045,3962.3457
FDX09,OUT010,484.1324
FDH40,OUT019,318.18155
FDW58,OUT017,1640.0878
FDC47,OUT017,3810.111
NCR41,OUT035,1535.3896
DRG49,OUT035,3954.4143
FDC52,OUT027,3489.6196
FDY13,OUT046,1088.7147
FDY35,OUT013,737.9414
FDI35,OUT017,3304.3157
NCU18,OUT049,2137.8489
FDY33,OUT018,2355.7617
FDC15,OUT027,3893.066
FDU01,OUT049,3100.9658
NCU42,OUT046,2776.7732
NCV29,OUT018,2649.8057
NCY30,OUT017,3152.185
FDQ46,OUT049,1864.9652
FDG58,OUT027,3681.3677
FDK33,OUT017,3449.321
NCD07,OUT045,1908.3688
NCX29,OUT027,3681.3677
NCT42,OUT013,2418.584
DRN59,OUT035,805.49695
FDI44,OUT035,1290.3959
FDA45,OUT049,2733.5989
FDP31,OUT045,957.1928
FDY01,OUT046,1908.3688
FDT09,OUT018,1894.1681
DRH03,OUT027,2557.3652
FDA36,OUT018,2732.7583
NCF31,OUT017,2453.8696
FDG14,OUT049,2447.6824
FDG28,OUT027,6152.739
FDU14,OUT049,4027.3032
FDY47,OUT019,373.8573
FDI56,OUT049,1403.7682
DRD01,OUT013,936.672
FDM22,OUT046,928.5593
FDH33,OUT013,737.9414
DRZ24,OUT013,1911.7742
NCQ38,OUT046,1642.2004
FDO16,OUT027,2273.6926
FDU07,OUT027,3681.3677
NCB07,OUT013,3114.9658
FDU48,OUT045,2134.2095
NCM43,OUT045,2676.4646
FDR31,OUT010,314.88425
DRK49,OUT018,604.95483
NCI30,OUT010,611.9527
DRD60,OUT017,2891.7402
NCG19,OUT046,3798.7632
FDH12,OUT035,1656.2007
FDM32,OUT035,1416.0381
FDM27,OUT035,2474.502
NCU53,OUT027,4184.1006
NCQ18,OUT046,1630.2893
FDS10,OUT013,2848.5137
FDB33,OUT027,3893.066
FDI12,OUT013,1384.7699
NCW42,OUT013,3462.417
NCC06,OUT018,1854.6031
FDW02,OUT017,2125.0552
NCD43,OUT017,1648.3881
FDM57,OUT018,1206.7079
FDA58,OUT017,3825.4834
FDK56,OUT046,3144.1924
FDP52,OUT045,3771.442
FDW20,OUT018,1849.9421
FDS52,OUT049,1630.2893
NCT29,OUT018,1762.4731
NCL54,OUT013,2891.7402
FDC05,OUT045,3144.1924
FDF34,OUT035,3156.6538
FDP03,OUT027,3123.691
FDD32,OUT010,318.78137
FDZ10,OUT045,2098.2844
FDZ40,OUT035,942.5593
FDD51,OUT018,592.8571
NCY30,OUT019,455.72986
FDP58,OUT017,3441.093
FDV49,OUT017,4105.02
FDY24,OUT019,174.68253
NCO55,OUT017,1648.3881
FDR13,OUT017,1914.5564
FDS51,OUT017,954.2643
FDP26,OUT045,1642.2004
NCB54,OUT027,3209.036
FDF32,OUT017,3158.1924
FDN31,OUT018,2828.6116
DRM48,OUT017,700.26117
FDN20,OUT049,2737.6694
DRL01,OUT046,3823.9854
FDV56,OUT049,1642.2004
DRH13,OUT027,2639.091
FDA03,OUT017,2450.2302
FDF47,OUT027,5602.242
FDX32,OUT046,2447.6824
FDX57,OUT049,1536.423
NCA30,OUT045,3100.9658
FDO49,OUT013,799.6096
FDL04,OUT019,343.66544
DRM48,OUT035,706.7422
FDR16,OUT013,3393.788
NCC19,OUT018,2806.0676
NCE42,OUT045,3871.9482
FDY24,OUT017,956.9526
FDH19,OUT049,2834.5137
FDJ46,OUT013,2891.7402
FDN45,OUT010,557.6301
FDY08,OUT035,2151.8489
FDZ37,OUT035,1401.5258
NCT30,OUT045,791.49695
DRY23,OUT018,606.86646
NCZ30,OUT018,1835.5414
FDC44,OUT018,1729.446
FDB45,OUT035,1576.1975
FDY04,OUT013,2641.0874
FDM27,OUT046,2604.3538
FDZ43,OUT017,4004.4773
FDT39,OUT019,356.76367
NCC06,OUT019,357.05917
FDL15,OUT027,3677.7283
FDL57,OUT017,3930.0225
FDU08,OUT046,1577.2122
FDK40,OUT017,4120.693
FDQ12,OUT010,614.1643
FDS48,OUT017,2453.8696
FDP09,OUT045,3402.4238
FDW21,OUT049,1663.6624
FDY25,OUT035,2891.7402
DRE13,OUT017,1405.7631
FDV43,OUT019,85.86862
FDD22,OUT045,1864.9652
FDM46,OUT019,303.77643
NCO30,OUT010,511.77023
FDM25,OUT046,2877.7402
NCN41,OUT049,2101.9238
FDU24,OUT045,1476.3883
FDZ50,OUT046,3144.1924
FDP45,OUT013,3977.344
NCM54,OUT045,2101.9238
FDW10,OUT019,339.9908
FDP20,OUT017,2104.472
FDK32,OUT046,2447.6824
FDN52,OUT049,1373.153
FDM58,OUT045,1710.7877
FDZ46,OUT027,2891.6602
NCA18,OUT018,1727.5344
FDD35,OUT046,2101.9238
NCK31,OUT035,805.49695
FDI40,OUT027,2639.091
FDT50,OUT019,316.1544
NCT06,OUT046,2676.4646
FDT31,OUT035,3147.863
FDT45,OUT049,861.5457
FDT13,OUT045,3156.0784
FDO50,OUT045,1403.7682
NCU18,OUT010,383.4003
NCR54,OUT049,3157.5984
NCO18,OUT018,2649.8057
FDU09,OUT045,928.5593
FDT13,OUT018,2816.5706
FDE09,OUT046,1864.9652
NCK53,OUT019,335.39362
FDG45,OUT049,3459.0564
DRH15,OUT035,754.7375
FDO21,OUT019,608.42883
FDD14,OUT027,5106.099
FDC09,OUT046,1642.2004
FDH45,OUT027,1103.2819
FDV32,OUT046,1037.1958
FDG12,OUT035,1986.481
FDS32,OUT013,2140.3972
NCL55,OUT018,3497.7224
DRE01,OUT035,3912.2705
DRE15,OUT049,1276.3956
NCL42,OUT045,3719.6946
FDP31,OUT013,965.3055
FDN33,OUT018,1336.6515
FDZ59,OUT046,2641.179
FDE45,OUT010,484.1324
FDJ07,OUT013,1911.7742
FDQ45,OUT018,2803.146
FDM33,OUT027,5453.857
FDO15,OUT010,296.6898
FDM46,OUT013,1416.5258
FDR03,OUT045,3444.1118
FDY49,OUT018,2536.1348
FDQ60,OUT045,1867.9998
FDW10,OUT049,2733.5989
FDO51,OUT049,726.72815
FDJ40,OUT018,1487.9674
FDS20,OUT018,2986.7659
FDU45,OUT013,1871.1528
FDV02,OUT035,2778.8872
FDN09,OUT046,3916.828
NCM55,OUT027,5149.3257
FDN23,OUT018,2179.6885
FDY31,OUT010,324.7023
FDW03,OUT010,368.18512
FDD14,OUT046,3100.9658
FDV23,OUT017,2108.1113
DRI03,OUT045,2842.3213
FDN13,OUT035,1640.6503
FDF45,OUT027,1722.0205
FDU46,OUT035,1387.1532
FDB57,OUT049,3642.4446
FDV12,OUT049,1630.2893
FDQ58,OUT013,2453.8696
NCA18,OUT017,1914.5564
FDH52,OUT049,937.20844
FDM24,OUT018,2156.6057
NCP43,OUT027,4668.2524
NCO18,OUT019,484.1324
FDM32,OUT017,1401.6555
NCL07,OUT017,686.25183
FDK03,OUT013,4104.976
FDP59,OUT017,1568.3849
FDQ24,OUT049,4156.9517
FDQ16,OUT018,1484.3281
FDU44,OUT013,2610.541
FDH28,OUT010,93.41135
FDV28,OUT019,55.762314
FDM22,OUT045,928.5593
FDR56,OUT046,3144.1924
FDV39,OUT049,3156.0598
FDU37,OUT019,302.73413
FDQ11,OUT010,644.3321
FDX02,OUT045,3685.6711
NCS42,OUT018,1256.1051
FDY57,OUT027,2568.5498
FDB21,OUT049,4060.6345
FDE28,OUT017,3810.111
FDQ55,OUT017,1914.5564
FDA48,OUT049,3680.5198
FDZ19,OUT045,2830.4353
NCC43,OUT045,3909.9524
NCV18,OUT046,1350.364
NCA42,OUT018,2373.542
FDY45,OUT046,3945.1582
NCC30,OUT045,2877.7402
FDM57,OUT013,1384.7699
FDL09,OUT010,433.52734
FDB09,OUT027,3156.4102
FDT44,OUT035,1919.5868
NCT06,OUT027,4269.0493
FDX26,OUT049,3157.5984
FDK32,OUT013,2453.8696
DRA12,OUT046,2137.8489
FDO46,OUT010,559.3618
FDE52,OUT013,1384.7699
NCH42,OUT045,3832.7488
FDV08,OUT035,734.88556
FDB47,OUT018,3045.1687
FDC28,OUT010,367.53937
FDD22,OUT046,1908.3688
FDS07,OUT027,3024.588
DRI13,OUT045,3457.5364
FDG32,OUT018,3378.241
FDU14,OUT017,4035.9028
FDD28,OUT019,173.3127
NCP41,OUT017,1648.3881
FDS08,OUT049,2843.8413
FDX47,OUT045,2516.9404
FDC53,OUT019,335.39362
FDQ19,OUT035,4163.96
FDL14,OUT045,2423.909
FDM33,OUT019,595.7696
FDA51,OUT045,1908.3688
FDZ27,OUT018,678.6281
FDT04,OUT046,720.88556
DRC13,OUT049,2101.9238
FDR16,OUT027,5231.49
FDQ03,OUT027,6183.2705
FDE38,OUT035,2743.6016
DRH23,OUT027,1725.6598
FDT11,OUT019,537.878
FDD09,OUT035,2903.6262
FDR40,OUT045,1338.3141
FDX07,OUT017,3161.2876
FDR07,OUT035,1470.42
FDA51,OUT017,1914.5564
FDT59,OUT019,604.5501
FDF20,OUT017,3158.1924
FDR13,OUT045,1908.3688
FDY26,OUT049,3402.4238
FDW04,OUT017,2144.0366
FDK52,OUT017,3831.7637
FDN60,OUT049,2565.632
FDM09,OUT019,484.1324
FDP46,OUT049,1373.153
FDB50,OUT019,302.73413
NCQ29,OUT049,4025.1436
FDP16,OUT027,6051.574
FDX33,OUT018,2355.7617
FDP07,OUT010,511.77023
FDN22,OUT046,3819.663
FDF39,OUT049,4074.3584
FDS21,OUT017,950.625
NCM42,OUT013,1660.438
FDK50,OUT019,426.4559
DRF13,OUT027,3681.3677
FDH35,OUT018,2384.7131
FDP60,OUT018,1476.0563
DRJ49,OUT027,3227.1162
NCT42,OUT019,356.76367
FDE38,OUT049,2743.0076
FDI04,OUT049,3157.5984
NCH54,OUT045,2552.226
FDT56,OUT049,937.20844
DRD15,OUT018,3395.1545
FDV58,OUT013,3043.2634
FDP21,OUT049,3157.5984
FDH05,OUT013,3828.6685
FDR10,OUT027,4078.8408
NCP06,OUT045,2439.3818
FDF33,OUT049,1642.2004
DRK37,OUT013,3163.117
DRH49,OUT045,1334.6748
FDT58,OUT013,2771.0745
FDD41,OUT018,1500.0173
FDP40,OUT018,1661.9246
FDM51,OUT027,2639.091
FDO45,OUT010,305.8645
FDW33,OUT010,356.84772
FDY24,OUT045,961.9323
FDB10,OUT010,555.2853
FDM40,OUT035,2151.8489
NCI06,OUT017,2891.7402
FDW12,OUT019,340.627
FDX48,OUT027,3653.9548
NCW05,OUT027,2650.2756
FDX27,OUT017,1522.916
DRM37,OUT045,3144.1924
FDA38,OUT045,3846.516
FDR36,OUT046,706.8389
FDZ45,OUT046,3144.1924
FDG05,OUT017,2610.541
FDK28,OUT013,3989.97
FDV47,OUT045,1387.5255
FDN21,OUT045,2589.6526
FDP20,OUT027,3152.7708
FDI35,OUT045,3290.3157
DRY23,OUT013,751.95074
FDA56,OUT017,2108.1113
FDB09,OUT013,2108.1113
NCO26,OUT027,3021.8057
FDQ49,OUT018,2316.863
FDI52,OUT027,3152.7708
FDZ44,OUT027,3021.8057
FDZ09,OUT018,2427.8726
FDY03,OUT049,1908.3688
NCG42,OUT017,2140.3972
DRI13,OUT027,5465.743
FDQ32,OUT013,2104.472
FDW16,OUT035,1417.7684
FDU27,OUT046,787.85767
FDR28,OUT010,435.9989
FDQ49,OUT010,424.01733
FDS37,OUT046,1908.3688
FDW26,OUT018,3101.443
FDX12,OUT018,3567.4475
NCP06,OUT013,2445.569
FDW45,OUT010,356.3488
NCN30,OUT049,1525.0287
FDN24,OUT049,861.5457
NCL41,OUT027,1052.1654
FDR02,OUT019,365.66806
FDD09,OUT010,539.3125
FDS33,OUT010,317.91443
FDU22,OUT045,2007.7664
FDI53,OUT013,2641.0874
DRH01,OUT049,2891.1462
FDX32,OUT013,2144.0366
NCP30,OUT018,570.2101
FDB60,OUT045,3144.1924
FDB14,OUT049,1475.523
NCP02,OUT035,942.5593
FDJ10,OUT017,2160.9805
FDG34,OUT046,1710.7877
NCB18,OUT017,1375.7013
FDM16,OUT049,1088.7147
FDW25,OUT018,1345.5557
FDB35,OUT010,306.7494
DRN11,OUT013,2144.0366
FDF41,OUT019,702.9385
FDH16,OUT045,1373.153
NCQ50,OUT018,3048.264
DRH23,OUT018,809.7333
DRJ37,OUT013,2453.8696
DRJ24,OUT027,5149.3257
FDY16,OUT035,3161.2876
FDQ27,OUT045,1675.5735
FDZ33,OUT045,2447.6824
FDF29,OUT045,2137.8489
FDA08,OUT049,2648.3062
FDG31,OUT046,1037.1958
FDE34,OUT019,546.03894
NCR30,OUT027,1922.3793
FDV33,OUT035,3960.5288
DRZ24,OUT018,1762.4731
NCL54,OUT035,2891.7402
FDR12,OUT049,2891.1462
NCC54,OUT046,3959.1997
DRN59,OUT013,799.6096
FDX50,OUT019,354.3571
FDV31,OUT027,4711.479
NCA29,OUT027,4711.479
FDW60,OUT049,2907.9568
FDX08,OUT017,3316.2017
DRD49,OUT013,3844.217
FDD33,OUT046,3796.111
FDW35,OUT013,737.9414
FDJ36,OUT017,1648.3881
FDV51,OUT035,2778.8872
FDW36,OUT046,1642.2004
FDH35,OUT046,2661.7634
NCS30,OUT027,3124.0872
FDN49,OUT017,714.3579
FDL08,OUT018,3603.6907
FDI09,OUT013,3841.8599
FDP19,OUT018,1894.468
FDU21,OUT010,56.34173
NCP41,OUT045,1642.2004
FDY10,OUT013,1907.349
FDP12,OUT018,548.7928
NCN26,OUT049,1908.3688
FDK44,OUT013,2891.7402
FDC28,OUT049,1642.2004
FDJ41,OUT027,5904.29
NCT29,OUT035,2115.9238
NCH42,OUT019,622.63043
FDU60,OUT018,2525.1794
FDS02,OUT045,3144.1924
FDC51,OUT046,2101.9238
FDU03,OUT013,3105.8633
FDX39,OUT045,3445.6504
NCY05,OUT010,65.30531
NCL06,OUT027,5930.8623
FDD32,OUT035,1290.3959
NCN41,OUT045,2101.9238
NCX53,OUT049,2134.2095
FDU57,OUT019,392.04944
FDQ23,OUT046,1654.2504
FDQ52,OUT045,4142.205
FDC14,OUT045,720.88556
FDY09,OUT035,2891.7402
FDQ28,OUT045,2460.502
FDV25,OUT046,3444.3386
FDJ07,OUT035,1922.369
DRB25,OUT049,1642.2004
FDK52,OUT019,552.5432
FDY52,OUT027,1777.2665
FDB28,OUT046,3096.8875
FDT36,OUT035,692.73285
FDV25,OUT017,3652.3662
NCN07,OUT027,3205.3965
FDC57,OUT017,3161.2876
FDQ03,OUT018,3396.7092
FDU23,OUT017,2782.9604
NCX41,OUT035,3462.7456
NCD06,OUT035,805.49695
FDW08,OUT045,1642.2004
NCU29,OUT017,2453.8696
NCE06,OUT013,2575.2554
FDV52,OUT010,353.9091
FDB02,OUT017,2891.7402
NCR18,OUT045,720.88556
FDK16,OUT049,1525.0287
NCQ29,OUT010,740.6341
FDZ01,OUT019,347.30472
FDW27,OUT035,2530.9404
FDD17,OUT018,3301.727
FDW39,OUT013,2844.4353
DRH59,OUT045,1043.7343
FDS52,OUT013,1636.4769
FDU40,OUT027,5074.319
NCF54,OUT013,2848.5137
FDH46,OUT045,1642.2004
NCP14,OUT049,1642.2004
FDH50,OUT049,3157.5984
DRF15,OUT010,397.95316
FDV27,OUT027,2267.3318
NCJ06,OUT049,2004.1271
FDN02,OUT018,3076.6821
FDQ51,OUT049,791.49695
FDQ07,OUT017,3699.6711
FDS45,OUT049,1675.5735
NCJ06,OUT045,2098.2844
FDD36,OUT035,1922.369
FDY25,OUT045,3290.3157
FDU52,OUT046,2423.909
DRK47,OUT017,3828.6685
NCL30,OUT017,2104.472
FDN22,OUT035,3879.9849
NCF30,OUT027,3156.4102
FDK03,OUT035,4064.6846
FDT45,OUT017,945.6152
NCC54,OUT027,6017.6055
FDP08,OUT018,2856.4678
FDU44,OUT046,2634.9001
DRG39,OUT035,875.5457
FDU32,OUT049,2101.9238
FDY27,OUT049,2843.8413
NCP54,OUT013,2108.1113
NCZ41,OUT049,2098.2844
DRL49,OUT013,2144.0366
FDI05,OUT018,1096.9469
FDY56,OUT045,3747.413
DRC13,OUT013,2108.1113
NCV29,OUT017,2903.6262
FDR24,OUT049,1403.7682
FDZ34,OUT018,2846.692
FDP37,OUT035,2115.9238
FDX08,OUT027,4723.365
FDS57,OUT045,2137.8489
NCG18,OUT049,1642.2004
FDK25,OUT018,2524.5488
FDH53,OUT049,1268.0953
DRI59,OUT018,3316.703
FDA52,OUT046,2877.7402
FDT20,OUT010,93.41135
FDE36,OUT019,443.39944
FDI24,OUT017,2891.7402
FDB28,OUT018,2806.0676
FDV11,OUT017,2891.7402
FDP01,OUT046,2439.3818
FDD34,OUT027,4144.3936
FDJ50,OUT027,1367.2283
FDZ44,OUT013,1911.7742
DRO59,OUT035,1183.4248
DRB48,OUT045,720.84827
FDR21,OUT018,2648.1038
NCE42,OUT010,721.2605
FDO23,OUT046,1460.6991
NCE30,OUT018,3069.9297
FDQ22,OUT035,692.73285
FDY01,OUT045,1908.3688
FDS08,OUT017,2844.4353
FDG28,OUT018,3418.8132
FDQ51,OUT018,678.6281
FDB05,OUT017,3931.356
FDO56,OUT049,1908.3688
FDE02,OUT018,1256.1051
FDN45,OUT017,3684.209
FDS09,OUT013,799.6096
NCA54,OUT018,2645.0085
FDP09,OUT010,576.7635
FDC53,OUT045,1630.2893
NCM55,OUT017,3158.1924
FDL09,OUT018,2527.091
FDA11,OUT019,285.14453
FDA50,OUT045,1525.0287
FDC23,OUT017,2894.8354
FDE22,OUT049,2617.7598
FDD23,OUT046,3144.1924
NCA29,OUT049,2891.1462
FDK38,OUT046,2412.3967
DRC13,OUT046,2101.9238
NCP43,OUT049,2834.5137
FDX28,OUT049,1642.3392
FDF08,OUT049,1403.7682
FDZ33,OUT046,2447.6824
FDD10,OUT049,2805.3013
FDO58,OUT017,2641.404
FDI50,OUT017,3828.6685
FDO58,OUT045,2661.7634
FDX08,OUT013,2903.6262
NCK17,OUT010,95.41159
FDF39,OUT035,4174.537
FDU45,OUT010,348.81274
NCJ18,OUT018,1726.6638
DRC27,OUT019,707.4657
DRC25,OUT035,1413.5757
FDU59,OUT035,2583.068
FDU28,OUT035,3161.2876
NCP30,OUT046,712.5852
FDB39,OUT018,807.82166
FDE41,OUT013,1384.7699
DRH11,OUT010,185.96242
FDA58,OUT045,3841.9897
FDU50,OUT046,1898.0066
FDM34,OUT013,2140.3972
FDM44,OUT027,2639.091
FDR39,OUT045,3100.9658
FDM25,OUT045,2877.7402
FDQ49,OUT049,2460.6248
DRH25,OUT018,706.17694
FDM09,OUT027,4699.347
FDL44,OUT019,399.65048
NCR42,OUT018,539.8292
DRL59,OUT046,861.5457
FDX43,OUT013,2735.7888
DRK47,OUT010,595.6067
FDU48,OUT018,1888.9171
FDY12,OUT045,791.49695
NCN43,OUT018,1858.2424
NCM55,OUT018,2828.6116
FDQ21,OUT027,3116.3298
FDX13,OUT035,4086.9004
NCK30,OUT027,6006.005
FDG20,OUT049,2891.1462
DRG27,OUT017,728.36725
FDY14,OUT018,3777.249
FDP59,OUT035,1576.1975
FDU60,OUT017,2773.6167
NCC18,OUT019,436.37878
DRJ39,OUT017,3462.7456
FDS07,OUT049,1908.3688
FDM08,OUT027,5730.158
FDP51,OUT045,2007.7664
FDU16,OUT035,1348.675
FDH12,OUT013,1648.3881
DRE48,OUT010,554.99664
NCL42,OUT027,5947.418
FDR21,OUT045,2834.5137
NCW29,OUT035,2151.8489
FDO11,OUT013,4128.5625
NCM31,OUT049,2102.5632
FDV35,OUT019,376.29123
FDF58,OUT017,954.2643
NCE43,OUT049,2778.2932
FDA02,OUT035,2461.6824
DRL37,OUT010,115.26349
FDR24,OUT018,1249.5352
FDW59,OUT049,1338.3141
FDS22,OUT049,726.72815
FDW24,OUT017,820.6027
FDU24,OUT035,1551.0789
FDA21,OUT027,5149.3257
FDH58,OUT027,3024.588
FDW36,OUT018,1487.9674
FDI45,OUT027,4711.479
FDU01,OUT018,2831.7068
